date_debut,date_fin,titre_court,description_rapide,categorie,pays
2012-06-06,2012-06-06,SudForêt,Création de la SAEM SudForêt destinée à relancer la filière bois en Nouvelle-Calédonie,Économie/Logistique,Nouvelle-Calédonie
2015-12-08,2016-01-08,Interdiction d'exportation du bois de santal,"Interdiction initiale sur le bois de santal brut appliquée en NC, avec dérogations temporaires envisagées",Politique/Juridique,Nouvelle-Calédonie
2016-03-21,2016-04-21,Derogation prohibition d'exportation du bois de santal de NC,Dérogation à la prohibition d'exportation des bois de santal (dérogation AO n° 16000488),Politique/Juridique,Nouvelle-Calédonie
2016-01-01,2016-01-01,Bois du Nord,Création d'une filière bois en Province Nord (Bois du Nord) visant exploitation/transformation du pinus caribaea,Économie/Sylviculture,Nouvelle-Calédonie
2029-12-31,2029-12-31,Bois du Nord – sauvegarde,"Bois du Nord en sauvegarde et redressement judiciaire, réorientation des activités (à partir de 2021)",Économie/Social/Logistique,Nouvelle-Calédonie
2019-04-05,2019-04-05,Pinus agréé pour la construction,Agrément du pinus calédonien comme matériau de construction après transformation,Économie/Environnement,Nouvelle-Calédonie
2022-01-01,2022-01-01,Etude de marché des bois locaux NC,Etude de marché et opportunités de valorisation des bois locaux et co-produits issus du pin local en Nouvelle-Calédonie,Économie/Environnement,Nouvelle-Calédonie
2012-06-01,2012-06-01,Filière bois NC – développement,Promotion et consolidation des activités sylvicoles et filière bois via Promosud et partenaires,Économie/Social/Logistique,Nouvelle-Calédonie
2012-01-01,2012-12-31,Règlementation biosécurité bois en PF,Introduction/renforcement des exigences phytosanitaires pour les importations de bois en Polynésie française,Logistique/Biosécurité,Polynésie française
2020-12-01,2021-12-31,Certification phytosanitaire obligatoire pour bois importés,Validation des certificats phytosanitaires pour les bois importés en PF,Logistique/Biosécurité/Économie,Polynésie française
2024-01-01,2024-12-31,Transition vers normes CIF/ISS pour emballages bois en PF,Mise en œuvre progressive des exigences de biosécurité et de traçabilité sur les emballages en bois importés,Logistique/Biosécurité/Économie,Polynésie française
2025-06-01,2025-12-31,Renforcement des contrôles forêt-bois PF,Actualisation des procédures de contrôle à l'importation et contrôles aléatoires accrus,Logistique/Biosécurité/Politique,Polynésie française
2013-05-17,2014-09-12,Gouvernement Flosse 2013,Formation et fin du premier gouvernement dirigé par Gaston Flosse après les élections territoriales,Politique/Juridique,Polynésie française
2013-05-09,2013-12-31,Projet d'aéroport international Bora Bora,Plan pour construire un aéroport international afin de dynamiser l'économie et l'emploi,Économie/Logistique,Polynésie française
2014-09-02,2014-12-31,Ralentissement du crédit aux entreprises,Rapport IEOM indiquant une baisse du crédit bancaire au secteur privé,Économie,Polynésie française
2023-04-30,2023-12-31,Élections territoriales 2023,"Victoire du Tavini Huiraʻatira et basculement du pouvoir, premier ministre élu Moetai Brotherson",Politique/Géopolitique,Polynésie française
2023-05-12,2028-05-12,Élection et prise de pouvoir de Moetai Brotherson,Brotherson élu président de la Polynésie française par l'Assemblée,Politique/Géopolitique,Polynésie française
2025-04-01,2025-05-01,Opposition à l'exploitation minière en eaux profondes,Le président Brotherson affirme l'interdiction potentielle de l'exploitation minière en eaux profondes,Politique/Environnement,Polynésie française
2025-06-09,2026-06-09,Création de la plus grande aire marine protégée du monde,Annonce de la plus vaste aire marine protégée couvrant l'EEZ,Environnement/Global,Polynésie française
2013-03-22,2015-12-31,Exclusivité d'importation applicable jusqu'en 2015,Période d'application des nouvelles règles d'import,Politique/Juridique/Économie/Logistique,Wallis-et-Futuna
2013-07-30,2013-07-30,Phytosanitary requirements for timber imports to Wallis and Futuna,Certification phytosanitaire requise pour les bois importés,Logistique/Environnement,Wallis-et-Futuna/Nouvelle-Zélande
2025-07-16,2025-12-31,Soutien eco-construction Wallis-et-Futuna,Initiatives pour développer l'utilisation de bois et matériaux durables dans les constructions,Économie/Environnement/Logistique,Wallis-et-Futuna
2012-03-25,2012-03-25,Élections territoriales de Wallis-et-Futuna,Élections territoriales ayant renouvelé l’Assemblée territoriale de Wallis-et-Futuna,Politique/Économie,Wallis-et-Futuna
2012-11-28,2013-04-01,Présidence de l’Assemblée territoriale (Sosefo Suve),"Sosefo Suve élu président de l’Assemblée territoriale, puis remplacé au début 2013",Politique,Wallis-et-Futuna
2013-04-01,2013-12-11,Présidence de l’Assemblée territoriale (Nivaleta Iloai),Nivaleta Iloai devient présidente de l’Assemblée territoriale,Politique,Wallis-et-Futuna
2014-11-26,2017-04-26,Présidence de l’Assemblée territoriale (Mikaele Kulimoetoke),Mikaele Kulimoetoke élu président de l’Assemblée territoriale,Politique,Wallis-et-Futuna
2017-04-04,2019-11-29,Présidence de l’Assemblée territoriale (David Vergé),David Vergé élu président de l’Assemblée territoriale,Politique,Wallis-et-Futuna
2020-09-30,2020-09-30,Élection du sénateur de Wallis-et-Futuna,Élection de Mikaele Kulimoetoke au Sénat français,Politique,Wallis-et-Futuna
2020-11-26,2022-03-25,"Présidence de l’Assemblée territoriale (Nivaleta Iloai, 2e mandat)",Nivaleta Iloai réélue et présidente de l’Assemblée jusqu’au mars 2022,Politique,Wallis-et-Futuna
2021-03-09,2021-05-10,Confinement et lutte contre la COVID-19,Wallis-et-Futuna passe en lockdown pour endiguer l’épidémie de COVID-19,Santé/Environnement,Wallis-et-Futuna
2022-03-21,2022-03-21,Élections et renouvellement des dirigeants locaux,Renouvellement lié aux résultats des élections territoriales et nominations locales,Politique,Wallis-et-Futuna
2023-01-01,2023-12-31,Vaccination et réponse sanitaire contre COVID-19,Campagne de vaccination et mesures sanitaires post-pandémie,Santé/Logistique,Wallis-et-Futuna
2024-01-01,2024-12-31,Infrastructures et logistique publiques,Initiatives locales d’amélioration des infrastructures et de la logistique publique,Économie/Logistique,Wallis-et-Futuna
2025-01-01,2025-12-31,Comité local et autonomie statutaire, débats et ajustements sur les outils statutaires et autonomie territoriale,Géopolitique/Juridique,Wallis-et-Futuna
2024-12-09,2025-01-09,Mise en œuvre des règles EUDR (Règlement UE 2023/1115) sur les produits bois exportés/importés,Introduction de traçabilité et diligence accrue pour le bois et les produits dérivés,Politique/Environnement/Global,UE
2025-12-30,2026-01-30,Phase d'application progressive de l'EUDR pour les entreprises (grand/PME),Échéance de conformité et adaptation des chaînes d'approvisionnement bois,Politique/Économie/Environnement,UE
2012-03-18,2012-04-30,Élections territoriales 2012 à Saint-Barthélemy,Les électeurs de Saint-Barthélemy élisent leur conseil territorial (2e cycle).,Politique/Géopolitique,Saint-Barthélemy
2017-03-19,2017-04-30,Élections territoriales 2017 à Saint-Barthélemy,Renouvellement du conseil territorial (19 sièges) et victoire de la liste Saint-Barth d'abord.,Politique,Saint-Barthélemy
2022-03-20,2022-04-30,Élections territoriales 2022 à Saint-Barthélemy,Troisième renouvellement du conseil territorial (19 sièges) après fusion des listes Saint-Barth d'abord et Saint-Barth Action-Équilibre,Politique,Saint-Barthélemy
2017-09-06,2017-10-01,Ouragan Irma frappe Saint-Barthélemy,Catastrophe majeure avec dégâts étendus et arrivée de secours militaires et aides humanitaires.,Environnement/Sanitaire/Logistique,Saint-Barthélemy/Saint-Martin
2020-03-01,2020-04-30,Premier cas de COVID-19 à Saint-Barthélemy,La pandémie de COVID-19 atteint Saint-Barthélemy et déclenche mesures sanitaires et confinement partiel.,Sanitaire/Global,Saint-Barthélemy
2012-01-01,2012-12-31,Statut PTOM et cadre douanier Saint-Barth\u00e9lemy,Mise en place du statut PTOM (depuis 2012) et autonomie douani\u00e8re influen\u00e7ant les importations/exportations de marchandise bois,Politique/G\u00e9opolitique/Logistique,Saint-Barth\u00e9lemy
2023-07-04,2023-08-04,Arr\u00eat\u00e9 clearance pour navires de plaisance,Adoption d\u2019un arr\u00eat\u00e9 relatif aux formalit\u00e9s de clearance pour les entr\u00e9es/sorties des navires de plaisance en provenance ou destination ext\u00e9rieure,Politique/Logistique,Saint-Barth\u00e9lemy
2024-09-01,2024-09-30,Mise en application des nouvelles formalit\u00e9s de clearance,Nouvelles formalit\u00e9s de clearance obligatoires pour les mouvements de plaisance dans les Antilles fran\u00e7aises (incluant Saint-Barth\u00e8lemy),Logistique/Politique,Saint-Barth\u00e9lemy
2025-01-01,2025-01-31,Mise \u00e0 jour des formalit\u00e9s de clearance,Actualisation des proc\u00e9dures de clearance en vigueur dans les Antilles fran\u00e7aises (1er janvier 2025),Logistique/Politique,Saint-Barth\u00e9lemy
2013-03-03,2013-03-31,Entrée en vigueur du règlement EUTR,Règlement européen visant à contrer le bois illégal et imposant une diligence raisonnable,Politique/Juridique/Économie/Logistique,EU27
2013-07-13,2013-07-13,MoU SVLK entre Indonésie et UE,Signature d'un Memorandum of Understanding sur le système SVLK pour certifier la légalité des bois exportés vers l'UE,Politique/Géopolitique/Économie/Logistique,Indonésie/UE
2013-04-24,2013-05-20,Moratoire sur les exportations de bois et prolongation potentielle,Extension du moratoire sur les clearance forestales avec discussion de reprise des exportations de bois,Environnement/Géopolitique,Indonésie
2014-01-01,2014-12-31,SVLK devient contraignant via réglementation présidentielle,SVLK est rendu légalement contraignant pour les exportations et le marché domestique,Environnement/Juridique/Économie,Indonésie
2016-11-10,2016-11-30,UE reconnaît le SVLK comme conforme au cadre FLEGT,L’UE déclare le SVLK d’Indonésie pleinement conforme au cadre FLEGT,Politique/Global/Économie,UE/Indonésie
2020-03-01,2020-03-31,Changement des règles SVLK et licences,Pressions et révisions autour des règles de légalité du bois indonésien et du système SVLK,Logistique/Économie/Politique,Indonésie/UE
2012-11-06,2012-12-06,Réélection de Barack Obama,Élection présidentielle américaine de 2012 influençant les relations internationales,Politique/Géopolitique,États-Unis
2014-03-18,2014-04-18,Crimée annexée,Annexion de la Crimée par la Russie et crise géopolitique,Politique/Géopolitique,Russie/Ukraine/Global
2015-12-12,2016-01-12,Paris Agreement,Accord de Paris sur le climat établissant des engagements climatiques mondiaux,Politique/Environnement/Global,Global
2016-06-23,2016-07-23,Brexit referendum,Référendum britannique sur l'appartenance à l'Union européenne et ses conséquences,Politique/Géopolitique,Royaume-Uni/Global
2020-03-11,2020-04-11,Pandémie de COVID-19 déclarée,Déclaration mondiale de la pandémie et débuts des mesures sanitaires et économiques,Santé/Global,Global
2020-11-03,2020-12-03,Élection présidentielle américaine 2020,Résultat influençant les relations internationales et la politique mondiale,Politique/Géopolitique,États-Unis/Global
2021-11-13,2021-12-13,COP26 à Glasgow,Conférence internationale sur le climat et résultats des négociations climatiques,Environnement/Politique/Global,Global
2022-02-24,2022-03-24,Invasion de l'Ukraine,Début de l'invasion russe de l'Ukraine et répercussions géopolitiques,Géopolitique/Politique,Russie/Ukraine/Global
2023-10-07,2023-11-07,Conflit israélo-palestinien intensifié,Escalade des hostilités et implications humanitaires et régionales,Politique/Social/Global,Israël/Palestine/Global
2024-11-05,2024-12-05,Élections présidentielles américaines 2024,Résultat influençant les relations internationales et les politiques mondiales,Politique/Géopolitique,États-Unis/Global
2025-04-01,2025-05-01,Soutien international à l'Ukraine,Appui financier et militaire accru de la communauté internationale à l'Ukraine,Politique/Géopolitique/Économie,Ukraine/Global
2013-01-01,2013-12-01,Interdiction partielle des exportations de bois non transformé,Restrictions progressives sur l'exportation de grumes pour encourager la transformation locale,Politique/Économie/Logistique,Indonésie
2014-01-01,2014-12-01,Interdiction totale des exportations de grumes en Indonésie,Mise en œuvre d'une interdiction plus stricte sur les exportations de bois brut afin de développer la fabrication locale,Politique/Économie/Logistique,Indonésie
2015-12-01,2016-02-01,Renforcement des contrôles du bois exporté en Russie,Renforcement des contrôles et des exigences douanières sur le bois exporté vers l'Asie et au-delà,Politique/Économie/Logistique,Russie
2020-04-01,2020-06-01,Impact de la COVID-19 sur les chaînes logistiques du bois,Perturbations majeures des chaînes d'approvisionnement du bois et des exportations mondiales,Économie/Logistique/Global,Global
2021-01-01,2021-12-01,Stimulus et relance des marchés du bois au Vietnam,Mesures de soutien à la production et à l'export du bois dans un contexte post-pandémique,Économie/Logistique/Global,Vietnam
2022-01-01,2022-12-01,Restrictions et sanctions sur les exportations de bois en Russie,Impact des sanctions sur le secteur forestier et les flux commerciaux,Politique/Économie/Logistique,Russie
2023-01-01,2023-12-01,Mise à jour des réglementations sur le bois importé aux États-Unis (hors UE),Renforcement des vérifications éclairées et des exigences de traçabilité pour le bois importé,Politique/Logistique/Global,Global
2024-01-01,2024-12-01,Tensions commerciales sur le bois entre Chine et pays voisins,Oscillations des exportations et des tarifs du bois,Politique/Économie/Logistique,Chine/Asie
2025-01-01,2025-12-01,Accords bilatéraux sur le bois entre Canada et États voisins,Conventions visant à faciliter et sécuriser les échanges de bois (hors UE),Politique/Économie/Logistique,Canada/USA
2012-07-27,2012-09-01,Jeux Olympiques de Londres 2012,"Les Jeux olympiques d'été se tiennent à Londres, marquant un moment emblématique pour le Royaume-Uni",Sport/Politique,Royaume-Uni
2014-09-18,2014-10-18,Référendum d'indépendance écossais,Électeurs d'Écosse votent sur l'indépendance vis-à-vis du Royaume-Uni avec un fort taux de participation,Politique/Géopolitique,Royaume-Uni
2016-06-23,2016-07-23,Référendum sur l'appartenance à l'UE,"Le Royaume-Uni décide de quitter l'Union européenne, déclenchant le processus du Brexit",Politique/Géopolitique/Economie,Royaume-Uni
2017-06-08,2017-07-08,Élection générale britannique,Élection générale qui redessine le parlement et l'exécutif,Politique/Économie,Royaume-Uni
2018-03-04,2018-04-04,Affaire Skripal et tensions russo-britanniques,Affaire d'empoisonnement à Salisbury entraînant des tensions diplomatiques,Géopolitique/Logistique,Royaume-Uni
2019-12-12,2020-01-12,Élection générale britannique 2019,Renforcement du soutien au Brexit et réaménagement politique,Politique/Géopolitique,Royaume-Uni
2020-03-23,2020-04-23,Premier confinement lié à la COVID-19,Mesures nationales de distanciation et confinement pour contrer la pandémie,Santé/Économie/Social,Royaume-Uni
2020-12-31,2021-01-31,Fin de la période de transition du Brexit,Sortie formelle du cadre de la transition commerciale post-Brexit avec l'UE,Géopolitique/Économie,Royaume-Uni
2021-10-31,2021-11-15,Conférence COP26 à Glasgow,Conférence majeure sur le climat réunissant des dirigeants mondiaux pour accélérer l'action climatique,Environnement/Global,Royaume-Uni
2021-08-15,2021-08-31,Crise et évacuation en Afghanistan (retour des talibans),Participation et évacuations britanniques lors du retrait d'Afghanistan,Politique/Sanitaire/Global,Royaume-Uni
2022-09-08,2022-09-22,Décès de la reine Elizabeth II,Déplacement symbolique important et transition vers le règne du roi Charles III,Politique/Autre,Royaume-Uni
2018-11-01,2019-04-01,Grève et mobilisation dans le secteur de la santé,Grèves et pressions sur le NHS pour des augmentations salariales et meilleures conditions,Social/Santé,Royaume-Uni
2013-07-13,2013-12-31,Indonesia signs MoU with EU on SVLK,Signature d'un accord avec l'UE sur le SVLK pour légalisation des chaînes d'approvisionnement forestier,Politique/Économie/Logistique/Environnement,Indonésie
2013-04-24,2013-12-31,Log exports threaten RI forests,Plan du gouvernement pour rouvrir les exportations de grumes et risques de déforestation,Politique/Environnement/Économie,Indonésie
2013-06-08,2013-12-31,Gouvernement envisage la suppression des enchères de grumes saisies,Mesures contre le commerce illégal et mécanismes de traçabilité,Politique/Juridique/Logistique,Indonésie
2013-12-16,2014-01-31,Plan to lift ban on log exports questioned,Questions sur la reprise des exportations de grumes après moratoire,Politique/Économie,Indonésie
2014-03-18,2014-03-18,Crimée annexion,Référence: Référendum et annexion de la Crimée par la Russie,Géopolitique/Politique/Global,Ukraine/Russie
2016-06-23,2016-06-24,Brexit,Vote du Royaume-Uni en faveur de la sortie de l'UE,Politique/Géopolitique/Économie,Royaume-Uni/UE
2017-10-01,2017-10-01,Référendum catalan,Vote pour l'indépendance de la Catalogne,Politique/Géopolitique,Espagne/Catalogne
2019-12-10,2019-12-12,Élections législatives britanniques,Consequence politique majeure sur le Brexit,Politique/Économie,Royaume-Uni
2020-03-11,2020-12-31,Déclaration de pandémie COVID-19,COVID-19 déclaré pandémie par OMS et mesures mondiales,Sanitaire/Économie/Social,Global
2020-03-11,2020-12-31,Confinements et lockdowns mondiaux,Mesures de confinement dans de nombreux pays,Social/Économie,Global
2022-02-24,2022-12-31,Invasion de l'Ukraine par la Russie,Début de l'invasion,Géopolitique/Politique,Ukraine/Russie
2024-06-01,2024-12-31,Adoption européenne de l'IA Act,Adoption du cadre UE sur l'IA,Technologie/Géopolitique/Économie,Union européenne
2013-03-03,2013-04-01,Entrée en vigueur du Règlement UE sur le bois (EUTR),Règlement imposant une diligence raisonnable pour les produits bois importés dans l'UE,Politique/Juridique/Économie/Logistique,EU27
2018-01-01,2018-02-01,Renforcement des mesures de traçabilité du bois dans l'UE,Amélioration des systèmes de traçabilité et de prévention du bois illégal au sein de l'Union,Politique/Économie/Logistique,EU27
2024-10-14,2025-03-03,Illegal Logging Prohibition Amendment Act 2024,Renforcement des mesures et mise à jour des règles de diligence pour les importateurs et processors,Politique/Juridique/Économie,Australie
2017-08-01,2017-09-01,Numéro unique d’export pour le bois indigène (NZ),Obligation d’obtenir un numéro d’intention d’export (ITE) pour les exportations de bois indigène,Politique/Logistique,Nouvelle-Zélande
2018-11-09,2019-11-09,Décision de la Cour suprême NZ Northland Environmental Protection Society v Chief Executive of MPI,Interprétation de fins et produits finis exportables de bois indigène,Juridique/Économie,Nouvelle-Zélande
2020-01-01,2020-12-31,Interdiction d’exportation de rondins au PNG,Annonce et mise en œuvre d’une interdiction d’exportation de bois rond dans le cadre d’une réforme forestière,Politique/Économie/Environnement,Papouasie-Nouvelle-Guinée
2013-08-21,2013-12-31,Loophole dans l’interdiction PNG d’exportation de bois,Rapport sur les SABL permettant d’exporter des rondins malgré l’interdiction,Géopolitique/Économie/Environnement,Papouasie-Nouvelle-Guinée
2012-07-01,2013-07-01,Mise en place de la taxe carbone australienne,Mise en œuvre d'une taxe carbone sur les grands pollueurs avant d'être contestée politiquement,Politique/Économie/Environnement,Australia
2014-07-17,2014-08-01,Abrogation de la taxe carbone (Australie),Le gouvernement conservative met fin à la taxe carbone instaurée en 2012 pour alléger les coûts perçus par les ménages et l'industrie,Politique/Économie/Environnement,Australia
2019-03-15,2019-04-15,Attentats de Christchurch,"Attentats terroristes contre deux mosquées à Christchurch, Nouvelle-Zélande",Politique/Social,New Zealand
2020-03-26,2020-04-30,Confinement national NZ lié à la COVID-19,Nouvelle-Zélande met en place un confinement strict pour contenir la pandémie de COVID-19,Santé/Société/Géopolitique,New Zealand
2023-03-28,2023-12-31,Révision de la politique d’exportation des logs, Initation de la révision pour orienter la filière vers les produits à valeur ajoutée et limiter l’export de rondins,Politique/Économie/Logistique,Guyana
2022-12-15,2022-12-31,COP 15: signature d’un accord VPA Guyana-EU pour le commerce durable du bois légal,Accord visant à établir un système de traçabilité et de licences FLEGT pour le bois exporté,Politique/Géopolitique/Économie/Environnement,Guyana
2022-12-16,2022-12-31,COP 15: mise en œuvre du VPA et création d’un cadre de vérification du bois légal,Mise en place du système de vérification et de licences pour faciliter l’accès au marché UE,Politique/Économie/Environnement,Guyana
2012-10-20,2012-10-29,Hurricane Sandy frappe les Caraïbes,"Tempête tropicale majeure causant dégâts importants en Haïti, République dominicaine, Jamaïque et Cuba",Environnement/Logistique/Économie,Haiti/Dominican Republic/Jamaica/Cuba
2017-09-06,2017-09-10,Passage d'Irma dans les îles des Caraïbes,"Hurricane Irma provoque destructions massives à Barbuda, Antigua-et-Barbuda, Saint-Martin et Saint-Barthélemy, puis touche Cuba et d’autres pays",Environnement/Géopolitique,Antigua_and_Barbuda/Saint-Martin/Cuba
2017-09-20,2017-09-29,Hurricane Maria et ses conséquences,Ouragan Maria ravage Dominica et cause des dégâts importants à Porto Rico et dans d’autres îles voisines,Environnement/Économie,Dominica/Porto_Rico
2020-03-11,2021-12-31,Déploiement de mesures liées à la pandémie de COVID-19,"Impact sanitaire et économique massif avec confinement, fermeture des frontières et mesures sanitaires dans de nombreux États Caribbean",Santé/Économie,Barbados/Jamaica/Trinidad_and_T Tobago/Porto_Rico/Dominican_Republic/etc.
2021-04-09,2021-04-30,Éruption de La Soufrière (Saint-Vincent et les Grenadines),Éruption volcanique majeure obligeant des évacuations et des alertes sanitaires et économiques,Environnement/Sanitaire,Saint_Vincent_and_the_Grenadines
2022-09-28,2022-10-01,Impact d’Ian sur les Caraïbes,Ouragan Ian frappe Cuba et plusieurs îles antillaises avec des dégâts matériels et des interruptions d’infrastructures,Environnement/Économie,Cuba/Antigua_and_Barbuda/Jamaica
2023-01-01,2023-12-31,Réformes économiques et dette dans les Caraïbes,"Initiatives économiques et mesures de stabilisation dans plusieurs pays (IMF, réformes fiscales, investissements)",Économie/Géopolitique,Barbados/Dominican_Republic/Jamaica/Trinidad_and_Tobago
2024-01-01,2024-12-31,Coopération régionale renforcée sur les catastrophes naturelles,Initiatives régionales pour la gestion des risques et le financement des catastrophes naturelles,Géopolitique/Environnement,Caribbean_Region
2025-01-01,2025-12-31,Progrès dans la transition énergétique insulaire,Projets d’énergies renouvelables et réduction de la dépendance aux énergies fossiles dans plusieurs îles,Économie/Environnement/Technologie,Barbados/Jamaica/Dominican_Republic/Cuba
2012-11-07,2012-12-07,Grand séisme au Guatemala,"Séisme magnitude 7.4 au large de la côte Pacifique, dévastant plusieurs départements et provoquant des pertes humaines et matérielles",Économie/Logistique/Sanitaire,Guatemala
2013-04-01,2013-07-01,Procès Ríos Montt (réouverture),Le tribunal guatémaltèques réouvre le procès pour génocide et crimes contre l’humanité liés à la guerre civile,Politique/Juridique,Guatemala
2014-01-15,2014-02-15,Élections présidentielles au Costa Rica,Élections présidentielles et législatives anticipées conduisant à un nouveau gouvernement,Politique,Costa Rica
2015-06-01,2015-08-01,Élections présidentielles au Salvador,Changement politique après les élections présidentielles,Politique,El Salvador
2016-01-01,2016-04-01,Crise migratoire régionale,"Flux migratoires croissants en provenance d’Amériques centrales vers les États-Unis, impactant sécurité et économie régionale",Géopolitique/Économie,Costa Rica/Honduras/Guatemala/El Salvador/Nicaragua
2017-04-01,2017-04-30,Honduras: contestation et violences,Vagues de manifestations et violences liées à la corruption et à l’insécurité,Politique/Social,Honduras
2018-06-03,2018-06-04,Éruption du volcan Fuego (Guatemala),"Éruption majeure du volcan Fuego, destructions localisées et évacuations massives dans plusieurs villages",Environnement/Sanitaire,Guatemala
2019-06-01,2019-06-30,Crackdown au Nicaragua,"Répression des protestations anti-gouvernementales, détentions et rapports de violations des droits",Politique/Social/Environnement,Nicaragua
2020-03-01,2020-04-01,COVID-19 en Amérique centrale,Propagation du COVID-19 et mesures sanitaires et économiques dans la région,Santé/Économie,Guatemala/Honduras/El Salvador/Nicaragua/Costa Rica/Panama
2021-08-01,2021-10-01,Élections présidentielles au Panama,Renouvellement du gouvernement panaméen et répercussions économiques,Politique/Économie,Panama
2022-09-01,2022-12-01,Risque climatique et feux de forêt,"Incendies et feux de forêt importants au Guatemala et ailleurs, nécessitant réponses civiles et internationales",Environnement/Social,Guatemala
2023-01-01,2023-02-01,Crises économiques et difficultés énergétiques,Pressions sur les coûts de vie et l’énergie dans la région,Économie/Logistique,Guatemala/Honduras/El Salvador/Costa Rica
2024-04-10,2024-04-10,Déclaration d’urgence pour feux de forêt,Déclaration d’état d’urgence en raison de feux de forêt majeurs au Guatemala,Environnement/Logistique,Guatemala
2025-07-08,2025-08-08,Séismes et répercussions au Guatemala,"Série de secousses sismiques dont une forte magnitude, impactant infrastructures et aidess humanitaires",Géopolitique/Environnement/Sanitaire,Guatemala
2025-02-10,2025-02-10,Accident de bus à Guatemala City,"Collision et chute d’un bus dans la rivière Las Vacas, de nombreux morts et blessés",Logistique/Sanitaire,Guatemala
2023-06-29,2024-12-30,Entrée en vigueur de la réglementation sur la déforestation (EUDR),Réglementation visant à interdire les produits issus de déforestation lors de leur mise sur le marché UE,Environnement/Politique,Autriche
2024-12-30,2025-12-30,Report de l’application de l’EUDR à 2025,Décalage temporaire des obligations de diligence et d’application,Politique/Juridique/Économie/Logistique/Global,Autriche
2025-12-30,2025-12-30,Phase de transition de l’EUDR (planification de mise en œuvre),Mise en place d’un calendrier de conformité et transitionnel,Politique/Juridique/Économie/Logistique,Autriche
2020-05-11,2020-11-11,Export ban on certain timber types in Kazakhstan,Interdiction temporaire d'exportation de bois pour types EAEU 4401-4407 afin de sécuriser les approvisionnements domestiques,Politique/Economie/Logistique,Kazakhstan
2021-11-23,2022-06-07,Regulation issues for export of timber (old ban period),"Mesure visant les exportations de certains matériaux bois, remplacement prévu au bout de 6 mois",Politique/Economie/Logistique,Kazakhstan
2022-06-08,2022-12-08,Ban on export of certain timber types,"Interdiction des exportations de bois pour codes 4401, 4403, 4404, 4406 et 4407 (sauf exceptions) sur 6 mois",Politique/Economie/Logistique,Kazakhstan
2023-11-10,2024-06-13,Order 71: régulation de l'export de certains types de bois,Ban applicable à certains bois avec exception des traverses bois résineux pour chemins de fer,Politique/Juridique/Économie/Logistique,Kazakhstan
2024-12-12,2025-06-12,Extension de l’interdiction d’exportation de bois,Nouvelle période de 6 mois pour l’export de certains types de bois afin de développer l’industrie locale,Politique/Economie/Logistique,Kazakhstan
2025-12-12,2026-06-12,Nouvelle extension de l’interdiction d’exportation,Renforcement des restrictions sur les exportations de bois avec dérogations limitées,Politique/Economie/Logistique,Kazakhstan
2013-10-01,2013-10-31,Décisions du gouvernement du 1er octobre 2013,Publication de décisions relatives au cadre forestier et à l'import-export de bois en Nouvelle-Calédonie,Politique/Juridique/Économie,New Caledonia
2016-06-01,2016-12-31,Révision du Code forestier en Nouvelle-Calédonie,Réforme du cadre légal encadrant l'export/import de bois,Juridique/Économie/Environnement,New Caledonia
2018-11-12,2019-01-31,Renforcement des contrôles phytosanitaires pour bois importés,Renforcement des exigences pour bois importé en NC,Logistique/Environnement,New Caledonia
2020-04-01,2020-12-31,Impact du confinement COVID sur le commerce du bois en NC,Effets sur l'exportation et l'importation de bois,Économie/Logistique,New Caledonia
2023-07-15,2024-02-29,Accords locaux sur les filières bois et durabilité en NC,Initiatives locales pour durabilité et export de bois,Environnement/Économie,New Caledonia
2013-03-03,2013-04-30,Entrée en application de l'EUTR,Loi européenne interdisant la mise sur le marché de bois illégal et imposant une diligence raisonnable,Politique/Juridique/Économie/Logistique,EU27
2016-11-15,2016-12-31,Lancement du système de licence FLEGT en Indonésie,Indonésie a commencé à délivrer des licences FLEGT dans le cadre de son VPAs avec l'UE,Géopolitique/Environnement/Économie/Logistique,Indonésie
2014-03-11,2014-04-30,Appel à action sur le déboisement illégal en Libéria,Appel public européen à renforcer les mesures contre le bois illégal et la non-conformité des États membres,Géopolitique/Environnement,Global
2024-12-30,2025-12-31,Entrée en application partielle du Règlement UE sur le déboisement/produits dérivés,Mise en œuvre progressive des règles visant les effets de déforestation,Politique/Environnement/Économie,EU27
2024-02-19,2025-02-28,Signature UE–Côte d’Ivoire sur l’accord FLEGT,Accord FLEGT signé entre l’UE et la Côte d’Ivoire pour réguler le commerce du bois,Politique/Économie/Environnement,Côte d’Ivoire/UE
2016-11-15,2017-12-31,Indonésie obtient la licence FLEGT,Délivrance et reconnaissance officielle des licences FLEGT pour les produits forestiers indonésiens,Politique/Économie/Environnement,Indonésie
2013-03-03,2013-04-30,Première application partielle de l’EUTR,Mise en œuvre progressive des obligations de traçabilité et de diligence raisonnable,Politique/Juridique/Logistique,EU27
2019-01-01,2019-12-31,Introduction des VPAs dans plusieurs pays d’Afrique de l’Ouest,Renforcement des accords de conversion et de traçabilité via VPAs,Politique/Environnement/Économie,Ghana/Côte d’Ivoire/Cameroun
2020-01-01,2020-12-31,Renforcement des normes de chaîne d’approvisionnement du bois,Adoption de standards internationaux de traçabilité et d’origine,Technologie/Économie/Logistique,Global
2013-01-01,2020-12-31,Création et renforcement des cadres de diligence raisonnable,Mise en place de systèmes de due diligence dans les marchés importateurs,Juridique/Économie/Logistique,EU27/Global
